Text,Category
Attacks LDF government for its financial mismanagementBJP’s Rajeev Chandrasekhar launches Vikasita Kerala campaign,politics
"Appointees will have to give an affidavit that he/she will not make any claims for regularisation of employment, as per norms issued by the Finance dept.Kerala govt. hikes payment for daily wage and contract workers",business
"Highways Dept. will prepare estimates to four-lane Gobi-Dharapuram, Perumanallur-Kunnathur stretches within this financial year, says Minister",politics
"About 10,000 chairs had been arranged for the ‘Jai Bapu, Jai Bhim, Jai Samvidhan’ rally; a video of thousands of empty chairs went viral on social media; the Bihar Assembly election is due to be held later this yearBihar Congress suspends party’s Buxar district president for poor turnout at Kharge’s rally",politics
Comprehensive portfolio of advanced weapons under a tech transfer agreement with Caracal to be manufactured at the facility in HyderabadSmall arms factory set up by UAE’s Caracal with Megha Group firm ICOMM opened,tech
"‘The diaphragm wall works worth ₹990 crore are in full swing while ₹1,200 crore has been allocated to complete the Left Main Canal of the project to provide irrigation and drinking water for the North Andhra region, including Visakhapatnam city, for industrial needs’Construction of Polavaram project’s ECRF dam commenced parallel to new diaphragm  wall works, says Water Resource Minister Nimmala Rama Naidu",politics
Karaikal Government Employees’ Association seeks green shelters to protect public from summer heat,politics
"The State govt. has initiated disciplinary action against officials involved, according to Satish JarkiholiIt is not right to blame State govt. for the Janivara incident, says Minister",politics
"According to Church protocol, only cardinals under the age of 80 are permitted to vote in the papal conclave, which decides the next popeNo Syro-Malabar representation in upcoming papal election as Cardinal Alencherry turns 80",politics
Andhra Pradesh Chief Minister to meet Union Ministers in Delhi on April 22,politics
Labour Minister says this follows the Memorandum of Understanding signed between the State government and the Swiss companySwiss team coming soon for preparing DPR on e-RT service between Hubballi and Dharwad,politics
Labour Minister says the government has taken the issue seriously and wants a detailed probe to be conductedFIR to be filed against those who removed sacred thread of students,politics
"Gold created history on Monday in the evening trade hitting the Rs 1 lakh milestone in the physical market with the last recorded price of 24 karat (999) at Rs 97,200 per 10 grams. A 3% Goods and Services Tax (GST) takes the prices to Rs 1,00,116.The yellow metal prices continued their winning ways on Monday, as the MCX June gold contracts hit a fresh lifetime of Rs 97,288 gram. Around 6:45 pm today, MCX gold rate for 10 grams stood at Rs 97,200, a surge of Rs 1,946 or 2.04% over the last trading price on Thursday. Markets were closed on Friday on account of Good Friday. Gold prices have surged over 26% or by Rs 20,800 per 10 gram in 2025, so far.Anuj Gupta, Head Commodity &amp; Currency at HDFC Securities also corroborated the development about the yellow metal's feat, saying that the price in Delhi-NCR is now around Rs 1,00,120 per 10 gram inclusing the 3% GST. The domestic prices tracked gains in the international market as the COMEX gold hovered near $3,407.30, per troy ounce, jumping by $78.90 or 2.37%. Gold bulls have been unleashed owing to weakness in the dollar index (DXY) which has now slipped the 99 mark against a basket of six top currencies. DXY has fallen nearly 6% in the past one month, extending declines to more than 10% over a 3-month period. Gold prices remain inversely related to the movement of the dollar index and are used as hedges in times of uncertainties just like the dollar. Investors and global Central Banks have preferred gold over greenback amid President Donald Trump’s tariff policies as he has been at war with the world, antagonising even its traditional allies.While reciprocal tariffs have been deferred by three months for the rest of the world, China still remains under the hammer. The dragon nation has retaliated with its own set of tariffs and measures, stoking fear of a global slowdown. This has raised safe haven appeal in the yellow metal.""Concerns over global economic growth as a result of the escalating Sino-US trade war are driving the rise, with a weaker dollar adding to the momentum,"" Renisha Chainani, Head - Research at Augmont said.“Fundamentally, markets are pricing in increased geopolitical risks, fueled by U.S. trade tensions and stagflation concerns, while persistent central bank demand adds to price pressures. On April 2, US President Donald Trump imposed reciprocal tariffs on dozens of countries, and while his administration has suspended duties for some, it has escalated its trade war with China,” he said.Gold creates history, hits Rs 1 lakh mark for the first time riding on dollar weakness",business
 Bhabiji actor Shubhangi Atres exhusband Piyush Poorey dies in IndoreBhabiji... actor Shubhangi Atre's ex-husband Piyush Poorey dies in Indore,entertainment
 Khalistani group wont be able to swing Canada election Exenvoy BisariaKhalistani group won't be able to swing Canada election: Ex-envoy Bisaria,politics
" Sinners hits  million worldwide in opening weekend matches to Minecraft MovieSinners hits $61 million worldwide in opening weekend, matches to Minecraft Movie",entertainment
 Inside Smriti Mandhanas Dubai Cricket AcademyInside Smriti Mandhana’s Dubai Cricket Academy,sport
" R Velusamy to head Mahindras auto business Veejay Nakra to lead farm equipmentR Velusamy to head Mahindra's auto business, Veejay Nakra to lead farm equipment",business
" Dow Jones tumbles nearly  points as US stock markets crashDow Jones tumbles nearly 1,000 points as US stock markets crash",business
"Biker Hardik Sharma wants the accused to pay for the damage to his bike.Biker, Assaulted By ""Drunk"" Men, Traced Accused On Instagram Using AI tools",tech
The software is designed to differentiate between humans and snow leopards. (Representational)How AI Cameras Warn Villagers About Presence Of Snow Leopards In PoK,tech
"Israel's Prime Minister Benjamin Netanyahu pushed back against his domestic security chief Ronen Bar on Monday, saying that the head of Shin Bet ""failed miserably"" when Hamas attacked Israel.Security Chief Failed Miserably On Oct 7 When Hamas Attacked Israel: Netanyahu",politics
"The Adani Group plans to invest an additional $10 billion (Rs 1000 crore) to build data centers in India, riding high on the boom in demand for artificial intelligence and business process-led services, reported Bloomberg.Adani Group Plans Data Centres In India With $10 Billion-Plus Investment",tech
